"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test to create a booking and verify the response.","922","Test Create Booking","","Wed Jul 31 23:29:44 AMT 2024","passed","Wed Jul 31 23:29:45 AMT 2024","","Create Booking Suite","",""
"Test to update a booking and verify the response.","797","Test Update Booking","","Wed Jul 31 23:29:47 AMT 2024","passed","Wed Jul 31 23:29:48 AMT 2024","","Update Booking Suite","",""
"Test to verify response when partially updating a booking with an invalid token.","906","Test Negative Partial Update Booking with Invalid Token","","Wed Jul 31 23:29:50 AMT 2024","passed","Wed Jul 31 23:29:51 AMT 2024","","Partial Update Booking Suite","",""
"Test to create authentication token for booking API.","1109","Test Booking Token Creation","","Wed Jul 31 23:29:43 AMT 2024","passed","Wed Jul 31 23:29:44 AMT 2024","","Create Token Booking Suite","",""
"This test retrieves a booking by ID and checks the response status and content.","812","Test getting booking by ID","","Wed Jul 31 23:29:46 AMT 2024","passed","Wed Jul 31 23:29:47 AMT 2024","","GET Booking Suite","",""
"Test to verify response when updating a booking with an invalid token.","812","Test Negative Update Booking","","Wed Jul 31 23:29:48 AMT 2024","passed","Wed Jul 31 23:29:49 AMT 2024","","Update Booking Suite","",""
"Test to verify response when partially updating a booking without a token.","1937","Test Negative Partial Update Booking without Token","","Wed Jul 31 23:29:51 AMT 2024","passed","Wed Jul 31 23:29:53 AMT 2024","","Partial Update Booking Suite","",""
"This test retrieves all bookings and checks the response status and content.","1624","Test getting all bookings","","Wed Jul 31 23:29:45 AMT 2024","passed","Wed Jul 31 23:29:46 AMT 2024","","GET Booking Suite","",""
"This test checks if the health endpoint is reachable and returns the expected status code.","1156","Health Check Test","","Wed Jul 31 23:29:41 AMT 2024","passed","Wed Jul 31 23:29:43 AMT 2024","","Ping Tests","",""
"Test to delete a booking by ID and verify the response.","797","Test Delete Booking by ID","","Wed Jul 31 23:29:53 AMT 2024","passed","Wed Jul 31 23:29:54 AMT 2024","","Delete Booking Suite","",""
"Test to partially update a booking and verify the response.","1234","Test Partial Update Booking","","Wed Jul 31 23:29:49 AMT 2024","passed","Wed Jul 31 23:29:50 AMT 2024","","Partial Update Booking Suite","",""
